"id","name","grid","homepage","rdf-schema#seeAlso","owl#sameAS","created"
"137674396","RK University","grid.449487.2","http://rku.ac.in/","http://en.wikipedia.org/wiki/RK_University","http://dbpedia.org/resource/RK_University","2016-06-24"
"145581781","Chongqing Technology and Business University","grid.411578.e","http://www.ctbu.edu.cn/","http://en.wikipedia.org/wiki/Chongqing_Technology_and_Business_University","http://dbpedia.org/resource/Chongqing_Technology_and_Business_University","2016-06-24"
"145824119","Ipca Laboratories Ltd.","grid.464923.e","http://www.ipcalabs.com/","http://en.wikipedia.org/wiki/Ipca_Laboratories","http://dbpedia.org/resource/Ipca_Laboratories","2016-06-24"
"152333473","Ecolab","grid.481868.b","http://www.ecolab.com/","http://en.wikipedia.org/wiki/Ecolab","http://dbpedia.org/resource/Ecolab","2016-06-24"
"152812213","Pennsylvania Transportation Institute","","http://www.pti.psu.edu/","http://en.wikipedia.org/wiki/Pennsylvania_Transportation_Institute","http://dbpedia.org/resource/Pennsylvania_Transportation_Institute","2016-06-24"
"153515283","European Central Bank","grid.466644.2","https://www.ecb.europa.eu/","http://en.wikipedia.org/wiki/European_Central_Bank","http://dbpedia.org/resource/European_Central_Bank","2016-06-24"
"164946172","Hengshui University","grid.449016.e","https://web.archive.org/web/20050810004329/http://www.hsnc.cn/","http://en.wikipedia.org/wiki/Hengshui_University","http://dbpedia.org/resource/Hengshui_University","2016-06-24"
"166722992","University of Massachusetts Medical School","grid.168645.8","http://www.umassmed.edu/","http://en.wikipedia.org/wiki/University_of_Massachusetts_Medical_School","http://dbpedia.org/resource/University_of_Massachusetts_Medical_School","2016-06-24"
"169541294","Flinders University","grid.1014.4","http://www.flinders.edu.au/","http://en.wikipedia.org/wiki/Flinders_University","http://dbpedia.org/resource/Flinders_University","2016-06-24"
"170833651","Dr. B.C. Roy Engineering College, Durgapur","","http://www.bcrec.ac.in/","http://en.wikipedia.org/wiki/Dr._B.C._Roy_Engineering_College,_Durgapur","http://dbpedia.org/resource/Dr._B.C._Roy_Engineering_College,_Durgapur","2016-06-24"
"194059303","Weyerhaeuser","grid.439053.8","https://www.weyerhaeuser.com/","http://en.wikipedia.org/wiki/Weyerhaeuser","http://dbpedia.org/resource/Weyerhaeuser","2016-06-24"
